currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate,reservationTerm
USD,0.0,2.646,2.646,eastus,US East,2023-11-01T00:00:00Z,01b860d8-8990-58ed-b73b-87ade708fe92,Standard_M96ds_2_v3 Low Priority,DZH318Z0K7CZ,DZH318Z0K7CZ/00T9,Virtual Machines Mdsv3 Medium Memory Series Linux,Standard_M96ds_2_v3 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M96ds_2_v3,,
USD,0.0,0.0,0.0,eastus,US East,2024-07-01T00:00:00Z,01db57c6-c536-5507-8a2f-eeb3221bfe6b,Standard_M176bds_v3,DZH318Z0FRGC,DZH318Z0FRGC/0068,Virtual Machines Mbdsv3 Medium Memory Series Linux,Standard_M176bds_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M176bds_v3,2024-08-31T23:59:00Z,
USD,0.0,0.116,0.116,eastus,US East,2024-08-01T00:00:00Z,01e25351-b7f3-520d-a0d2-11fa3eb78ec5,EC8adsv6 Low Priority,DZH318Z0F6ZS,DZH318Z0F6ZS/0020,Virtual Machines ECadsv6 series Linux,EC8adsv6 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_EC8ads_v6,,
USD,0.0,0.363,0.363,eastus,US East,2024-08-01T00:00:00Z,01e336e2-12c8-5e18-894d-e25df2e6d021,NP20s Spot,DZH318Z0CHCB,DZH318Z0CHCB/0008,Virtual Machines NP Series,NP20s Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NP20s,,
USD,0.0,0.384,0.384,eastus,US East,2021-11-01T00:00:00Z,01e5d6f5-249e-5bc5-a944-ca8cd5d01ecb,D8s v4,DZH318Z0CSHJ,DZH318Z0CSHJ/0014,Virtual Machines Dsv4 Series,D8s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D8s_v4,,
USD,0.0,1978.0,1978.0,eastus,US East,2021-11-01T00:00:00Z,01e5d6f5-249e-5bc5-a944-ca8cd5d01ecb,D8s v4,DZH318Z0CSHJ,DZH318Z0CSHJ/00XV,Virtual Machines Dsv4 Series,D8s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_D8s_v4,,1 Year
USD,0.0,4.128,4.128,eastus,US East,2023-07-01T00:00:00Z,01ead6c4-cfb4-5062-95db-3f722681ddca,DC96as v5,DZH318Z09B6C,DZH318Z09B6C/000F,DCasv5-series Linux,Standard_DC96as_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_DC96as_v5,,
USD,0.0,28929.0,28929.0,eastus,US East,2023-07-01T00:00:00Z,01ead6c4-cfb4-5062-95db-3f722681ddca,DC96as v5,DZH318Z09B6C,DZH318Z09B6C/0068,DCasv5-series Linux,Standard_DC96as_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_DC96as_v5,,1 Year
USD,0.0,1.469,1.469,eastus,US East,2022-06-01T00:00:00Z,01f6dc96-b544-5fd4-9e2f-18db001a33d5,NC48ads_A100_v4 Low Priority,DZH318Z09TGJ,DZH318Z09TGJ/0023,NCads A100 v4 Series Linux,Standard_NC48ads_A100_v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC48ads_A100_v4,,
USD,0.0,0.0,0.0,eastus,US East,2024-06-01T00:00:00Z,02020922-ed7f-5254-bc4b-9e0a6f48b0e3,E32pds v6,DZH318Z0G1GS,DZH318Z0G1GS/006M,Virtual Machines Epdsv6 Series,E32pds v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32pds_v6,,
USD,0.0,0.125,0.125,eastus,US East,2024-08-01T00:00:00Z,02107cb1-e15d-5057-8ddd-27b0ed9f2a2e,FX2ms v2 Low Priority,DZH318Z0H7F2,DZH318Z0H7F2/005V,Virtual Machines FXmsv2 Series Windows,FX2ms v2 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_FX2ms_v2,,
USD,0.0,6.912,6.912,eastus,US East,2021-11-01T00:00:00Z,2ca4d27e-3c37-5f3f-8a79-aa9ca17566bd,E96-24ds v5,DZH318Z096SN,DZH318Z096SN/00RN,Virtual Machines Edsv5 Series,E96-24ds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E96-24ds_v5,,
USD,0.0,35724.0,35724.0,eastus,US East,2021-11-01T00:00:00Z,2ca4d27e-3c37-5f3f-8a79-aa9ca17566bd,E96-24ds v5,DZH318Z096SN,DZH318Z096SN/0577,Virtual Machines Edsv5 Series,E96-24ds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,False,Standard_E96-24ds_v5,,1 Year
USD,0.0,5.76,5.76,eastus,US East,2021-11-01T00:00:00Z,0247319f-9dbc-551b-834c-c1334b1ebd35,E80ids v4,DZH318Z0CSHK,DZH318Z0CSHK/041G,Virtual Machines Edsv4 Series,E80ids v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E80ids_v4,,
USD,0.0,29660.0,29660.0,eastus,US East,2021-11-01T00:00:00Z,0247319f-9dbc-551b-834c-c1334b1ebd35,E80ids v4,DZH318Z0CSHK,DZH318Z0CSHK/041J,Virtual Machines Edsv4 Series,E80ids v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E80ids_v4,,1 Year
USD,0.0,0.02772,0.02772,eastus,US East,2024-08-01T00:00:00Z,024e2c6e-cc53-5668-add0-9a8a3324fd14,E4s v5 Spot,DZH318Z096SR,DZH318Z096SR/014M,Virtual Machines Esv5 Series,E4s v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E4s_v5,,
USD,0.0,0.715,0.715,eastus,US East,2022-04-01T00:00:00Z,0251434e-ce39-5f59-b46a-7e1def772266,E48bs v5 Low Priority,DZH318Z09LR5,DZH318Z09LR5/0032,Virtual Machines Ebsv5 Series,Standard_E48bs_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E48bs_v5,,
USD,0.0,0.0,0.0,eastus,US East,2024-06-01T00:00:00Z,0253680c-835f-5a00-b88f-c6dc2fa92b83,E96ps v6 Spot,DZH318Z0G1H0,DZH318Z0G1H0/00KR,Virtual Machines Epsv6 Series,E96ps v6 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E96ps_v6,,
USD,0.0,3.744,3.744,eastus,US East,2021-11-01T00:00:00Z,025402b3-c7f6-413f-99b8-cc2ffb074c3e,L48s v2,DZH318Z0BQM3,DZH318Z0BQM3/0056,Virtual Machines LSv2 Series,L48s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_L48s_v2,,
USD,0.0,20892.0,20892.0,eastus,US East,2019-06-01T00:00:00Z,025402b3-c7f6-413f-99b8-cc2ffb074c3e,L48s v2,DZH318Z0BQM3,DZH318Z0BQM3/0052,Virtual Machines LSv2 Series,L48s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_L48s_v2,,1 Year
